datetime,open,high,low,close,% change
2023-10-26,175.975,176.713,169.988,171.623,-2.473078562295783
2023-10-25,180.629,180.636,175.078,175.594,-2.787481522900529
2023-10-24,179.784,184.034,179.784,182.233,1.3621901837760937
2023-10-23,174.535,181.027,173.147,179.347,2.757040135216439
2023-10-20,181.086,183.422,176.19,178.784,-1.2712191997172728
2023-10-19,190.368,190.863,183.828,184.793,-2.92853840981677
2023-10-18,188.37,189.169,186.477,187.823,-0.290385942559854
2023-10-17,187.445,190.195,186.438,187.195,-0.1333724559204033
2023-10-16,183.67,189.385,182.973,187.56,2.1179288942124543
2023-10-13,188.26,188.681,185.278,186.411,-0.9821523425050407
2023-10-12,188.043,190.062,184.564,187.232,-0.4312843339023559
2023-10-11,185.215,188.584,183.98,187.86,1.42807008071701
2023-10-10,182.281,185.105,181.439,183.6,0.7236080556942239
2023-10-09,181.165,185.065,179.525,181.48,0.17387464466094318
2023-10-06,165.955,176.93,164.887,176.33,6.2516947365249615
2023-10-05,164.195,166.085,160.905,165.4,0.7338834921891729
2023-10-04,163.937,164.97,162.125,164.305,0.22447647571932813
2023-10-03,167.905,168.085,160.85,161.795,-3.638962508561397
2023-10-02,167.854,171.95,167.514,169.31,0.8674204963837554
2023-09-29,167.3,169.51,166.855,167.525,0.13448894202031936
2023-09-28,161.549,166.085,161.495,165.165,2.2383301660796326
2023-09-27,161.965,164.629,160.72,163.0,0.6390269502670308
2023-09-26,158.63,160.915,158.61,160.34,1.0779802055096817
2023-09-25,160.825,161.743,159.21,159.66,-0.7243898647598273
2023-09-22,164.12,166.555,161.916,162.35,-1.0784791615890874
2023-09-21,169.66,170.49,159.364,162.805,-4.040433808794052
2023-09-20,166.15,168.538,164.035,164.285,-1.1224796870297977
2023-09-19,166.95,166.95,162.89,165.555,-0.835579514824787
2023-09-18,165.805,168.565,165.19,166.99,0.7146949730104655
2023-09-15,166.94,167.93,163.417,165.435,-0.9015215047322365
2023-09-14,169.174,171.77,168.495,170.84,0.9847848960242098
2023-09-13,169.775,170.695,168.32,168.535,-0.7303784420556673
2023-09-12,170.135,172.365,168.23,169.73,-0.23804625738384294
2023-09-11,169.71,172.59,169.195,172.23,1.4848859819692308
2023-09-08,167.664,169.156,166.29,167.98,0.18847218246015993
2023-09-07,165.425,167.877,163.405,166.775,0.816079794468789
2023-09-06,165.155,168.215,164.021,165.905,0.45411885804244495
2023-09-05,160.295,165.6,160.065,165.367,3.1641660688106326
2023-09-01,164.52,166.16,160.27,161.425,-1.8812302455628487
2023-08-31,160.114,164.37,159.26,163.12,1.87741234370511
2023-08-30,147.26,150.123,145.23,149.014,1.1910905880755258
2023-08-29,143.71,148.47,143.48,146.54,1.9692436156147686
2023-08-28,145.995,147.833,142.385,143.88,-1.4486797493064894
2023-08-25,146.311,150.38,145.27,149.505,2.183021098892078
2023-08-24,153.98,154.044,145.38,145.5,-5.50720872840628
2023-08-23,151.83,155.445,151.363,153.65,1.1987090825265052
2023-08-22,154.015,154.195,151.58,152.42,-1.0356134142778295
2023-08-21,153.817,155.005,151.855,153.635,-0.1183224220989984
2023-08-18,141.91,147.315,141.665,146.56,3.276724684659295
2023-08-17,148.475,148.6,143.795,144.46,-2.704158949318058
2023-08-16,148.315,151.29,147.835,148.78,0.3135218959646721
2023-08-15,150.295,151.605,149.025,149.295,-0.6653581290129413
2023-08-14,148.045,152.438,147.44,152.115,2.749164105508475
2023-08-11,148.211,150.035,147.5,148.28,0.046555248935631226
2023-08-10,147.835,151.06,146.57,147.715,-0.08117157641966012
2023-08-09,146.08,147.13,144.255,145.455,-0.4278477546549835
2023-08-08,146.326,147.51,142.795,145.815,-0.3492202342714184
2023-08-07,149.835,151.92,147.774,150.815,0.6540527914038707
2023-08-04,153.79,154.098,148.61,150.182,-2.346056310553355
2023-08-03,154.336,158.445,154.245,157.705,2.182899647522289
2023-08-02,156.832,159.821,152.5,154.7,-1.3594164456233455
2023-08-01,159.941,166.89,159.015,166.155,3.8851826611062816
2023-07-31,160.77,163.374,160.004,161.2,0.26746283510603863
2023-07-28,155.802,156.925,153.405,155.63,-0.11039652892773974
2023-07-27,156.31,157.975,152.2,152.696,-2.312072164288916
2023-07-26,148.977,154.87,148.62,154.005,3.3750176201695505
2023-07-25,152.97,153.215,150.801,151.11,-1.2159246911158954
2023-07-24,149.276,150.67,147.165,149.31,0.022776601731016245
2023-07-21,150.909,152.31,148.755,150.91,0.000662651001600153
2023-07-20,154.245,154.57,147.505,148.195,-3.9223313559596815
2023-07-19,156.48,161.47,155.41,157.632,0.7361963190184148
2023-07-18,152.305,154.215,150.59,153.355,0.68940612586585
2023-07-17,149.005,155.515,148.97,152.894,2.609979530888232
2023-07-14,150.576,152.156,148.93,149.35,-0.8142067793008176
2023-07-13,149.166,153.49,148.537,150.905,1.1658152662134833
2023-07-12,151.46,151.855,144.36,146.567,-3.230555922355738
2023-07-11,152.02,152.625,149.335,150.667,-0.8900144717800346
2023-07-10,144.455,149.85,143.555,149.512,3.5007441763871014
2023-07-07,144.05,146.76,143.38,144.015,-0.024297119055900734
2023-07-06,140.4,143.37,139.42,143.255,2.033475783475776
2023-07-05,145.347,147.21,144.83,145.951,0.4155572526436631
2023-07-03,145.88,149.879,145.005,149.879,2.74129421442281
2023-06-30,146.001,149.318,145.935,147.02,0.6979404250655854
2023-06-29,146.09,146.429,143.135,143.82,-1.5538366760216373
2023-06-28,143.15,146.005,142.4,144.985,1.2818721620677664
2023-06-27,143.22,145.035,142.045,144.565,0.9391146487920674
2023-06-26,142.735,145.205,141.35,141.966,-0.5387606403475009
2023-06-23,143.505,144.935,142.585,143.853,0.24250026131494595
2023-06-22,142.73,146.855,141.85,145.745,2.1123800182162227
2023-06-21,150.345,151.54,143.24,144.33,-4.000798164222279
2023-06-20,154.205,155.515,150.278,152.265,-1.2580655620764734
2023-06-16,160.475,160.595,154.925,155.255,-3.2528431219816163
2023-06-15,152.644,161.235,152.235,159.91,4.760095385341049
